2026-04-22 11:30:11 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-22 11:30:12 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-22 11:30:13 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-22 11:30:14 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-22 11:30:15 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-22 11:30:16 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-22 11:30:17 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-22 11:30:18 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-22 11:30:19 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-22 11:30:20 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-22 11:30:21 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-22 11:30:22 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.94
2026-04-22 11:30:23 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-22 11:30:24 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-22 11:30:25 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-22 11:30:26 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-22 11:30:27 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-22 11:30:28 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-22 11:30:29 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-22 11:30:30 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-22 11:30:31 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.96
2026-04-22 11:30:32 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.96
2026-04-22 11:30:33 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.96
2026-04-22 11:30:34 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.96
2026-04-22 11:30:35 - Battery: None% | Satellites: 0 | Mode: UNKNOWN | Armed: False | Altitude: 0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.96
