2026-04-23 14:32:06 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.94
2026-04-23 14:32:09 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: BOOT | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:32:11 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:32:14 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:32:17 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:32:20 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:32:22 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:32:25 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.96
2026-04-23 14:32:28 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.96
2026-04-23 14:32:31 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:32:34 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.96
2026-04-23 14:32:36 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:32:39 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:32:43 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:32:46 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.96
2026-04-23 14:32:49 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.96
2026-04-23 14:32:51 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:32:55 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:32:58 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:33:01 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:33:05 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.94
2026-04-23 14:33:09 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.94
2026-04-23 14:33:13 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.94
2026-04-23 14:33:17 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.94
2026-04-23 14:33:20 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:33:23 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.94
2026-04-23 14:33:26 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.94
2026-04-23 14:33:29 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.94
2026-04-23 14:33:32 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.94
2026-04-23 14:33:35 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.94
2026-04-23 14:33:38 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.94
2026-04-23 14:33:42 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.96
2026-04-23 14:33:45 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:33:48 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:33:51 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:33:54 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.94
2026-04-23 14:33:57 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:34:00 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.94
2026-04-23 14:34:04 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:34:08 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:34:13 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:34:17 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:34:20 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:34:23 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.96
2026-04-23 14:34:26 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.96
2026-04-23 14:34:30 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.96
2026-04-23 14:34:33 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.96
2026-04-23 14:34:36 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.96
2026-04-23 14:34:40 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.97
2026-04-23 14:34:44 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.96
2026-04-23 14:34:49 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:34:55 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: right | Target Confidence: 0.96
2026-04-23 14:35:00 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.92
2026-04-23 14:35:04 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.96
2026-04-23 14:35:09 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.95
2026-04-23 14:35:12 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: right | Target Confidence: 0.95
2026-04-23 14:35:15 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: right | Target Confidence: 0.96
2026-04-23 14:35:18 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: right | Target Confidence: 0.96
2026-04-23 14:35:22 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: right | Target Confidence: 0.96
2026-04-23 14:35:25 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: right | Target Confidence: 0.96
2026-04-23 14:35:28 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.92
2026-04-23 14:35:31 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: right | Target Confidence: 0.96
2026-04-23 14:35:35 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: right | Target Confidence: 0.96
2026-04-23 14:35:38 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: right | Target Confidence: 0.96
2026-04-23 14:35:41 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: right | Target Confidence: 0.96
2026-04-23 14:35:44 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: right | Target Confidence: 0.96
2026-04-23 14:35:46 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: right | Target Confidence: 0.96
2026-04-23 14:35:49 - Battery: 100% | Satellites: 10 | Mode: STABILIZE | Armed: False | Altitude: -0.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: right | Target Confidence: 0.96
